key,agreement,quote,response
"(374, 3)",1.2,"Pretty darn obvious just who is doing the obfuscating and denying around here, bud.","Well, at least we agree that someone is obfuscating and denying."
"(717, 2)",1.2,http://www.livescience.com/strangenews/070816_gm_evolution.html  Is the link Bert is seeking.,The following seems to be a passage that bert and WW/SS will be ignoring in the article. This explains why WW/SS have this thing about vitality and EAM.
"(1034, 2)",1.5,"""I think one of the greatest mysteries in biology at the moment is whether natural selection is the only process capable of generating organismal complexity,"" said Massimo Pigliucci of the Department of Ecology and Evolution at Stony Brook University in New York, ""or whether there are other properties of matter that also come into play. I suspect the latter will turn out to be true."".","Bertvan: I suspect that once those ""other processes"" are acknowledged, most people will realize it is unlikely that ""natural selection"" ever actually created anything."
"(1034, 5)",1.666666667,"Of course, no one expects that you would have made any effort to actually educate yourself before you accepted creationist dogma from someone else who is as ignorant as you. There have been several continuing experiments with anole lizards in the Caribbean. I'll leave it to you to search the peer reviewed literature for the several papers on the topic. I'm sure that it won't be a problem for you, given your constant quest for knowledge.","It's worse than that, Pandion. For example, here's what I told him over at ARN on the same subject back on April 5th. http://www.arn.org/ubbthreads/showflat.php?Cat=0&Board=13&Number=30331420&Searchpage=1&Main=30330635&Words=Harbor+N.Wells&topic=&Search=true#Post30331420."
"(749, 3)",1.4,I have to ride to the defense of us chemists.,I can see why you might ;) My apologies to chemists everywhere.
"(1269, 1)",1.166666667,FALSE!,Indeed! At least you recognize the nature of your own statement.
"(799, 5)",1.6,"Franz Halberg of the University of Minnesota is widely considered the ""father of chronobiology"".","I once walked into Halbergs office in an effort to borrow a big XY plotter his group had available. Before I left he overwhelmed me with an extended lecture on chronobiology and his current work as well as a large sheath of reprints and reviews. A very vocal advocate of his field (and it WAS his field) and quite a character. Of course I met him in the morning and perhaps he was on a chronobiological peak at the time who can say. Anyway I did get access to the plotter for some chemical work I was doing, and I learned a bit about his work and interests. Productive meeting."
"(367, 3)",1.4,"Are you suggesting that belief in a devine being, whether real or not, who holds us accountable for our actions is a problem?",I think if Islamic fundamentalism shows us nothing else it's that...
"(313, 6)",1.5,Does anyone know how Carbon Dating Works?,"Sure. Here is an explanation.  The 14C Method  That is from the Radiocarbon WEB info site by the Waikato Radiocarbon Dating Lab of the University of Waikato (New Zeland).  That's how I think it works, so the ball in in your court now."
"(171, 3)",1,"From my speculation, this topic is full of people trying to either prove or disprove evolution. Almost no one ever tries to give evidence against creation. So, what is it?",Because there IS no evidence against creationism.
"(1303, 0)",1.4,"Maybe it's because the evidence that indicates a use for the appendix, rather than it being an incompletely useless vestige, is itself further evidence of evolution and common descent.","Bingo. Relationships between appendices of closely related species still suggest that the appendix used to have a different function, namely digestion of roughage. Linky. (Plus what Otto said, again.)."
"(922, 2)",1.333333333,"There is a lot of discussion regarding the validity of evolution on this board and some against creation. But since it is a clear fact that even if evolution was proven to be false, it would NOT make creation right, I think it is about time we hear some evidence for creation.  Admittedly, I have yet to hear/see any so I am curious to find out if there any at all that does not rely on evolution being ""unproven"".....","Well, all Arch could do was attack Evolution.  Your point is proven as well as my poll. Besides, the complete and utter failure for creationists to argue their belief on its own merits is a well known fact. There are at least three threads that ask creationists to do just that. There isn't any single one where they even try to do it.  They always, always fall back on the false dichotomy of if not A, therefore B. But C through ZZZ may exist. If the sky is not orange, it is therefore brown!"
"(145, 5)",1.166666667,"Not exactly the same news. Back in 2006 he wanted to buy up a bunch of stock and then dump it to drive down the price, in some sort of attempt to ""punish"" Microsoft. Now it seems he wants Christians to buy and keep the stock, so as to sway votes at shareholders meetings. Of course, either course of action is ludicrous. There's no way these people have the money to steer the course of a corprate giant like Microsoft. I'm perfectly happy to see this church blowing its money this way, but it's a shame about the followers of the church, who may well not really have the spare cash to risk in this sort of endeavor.","Well, the funny thing is... if he's so public about his plans and even if he succeeds a little, the SEC will probably come in and bankrupt he and his flock and ruin the rest of their lives. He probably would end up facing a fair amount of jail time. Stock manipulation is illegal. And a giant like Microsoft will be out for blood. His being so vocal about it is probably the dumbest thing he could do. This guy is not playing with a very bright bulb.  And, yes, you'd think that he'd be pouring all his energy into feeding the poor, helping New Orleans recover from Hurricane George. Some of these christian folk have their priorities so twisted it makes me sick."
"(426, 4)",1,"I got a copy of this in my inbox (a opy of the brief that was filed) and it really is bizzare. The brief literally makes an individualist, strict scrutiny argument (which means it is a fundamental right since only fundamental rights are subject to the strict scrutiny doctrine) then immediatly turns around and basically says ""Except in cases where the government wants to do somethign, then we apply intermediate scrutiny and it is not fundamental"".  Bizzare.   Good to see you back, JP. I jsut saw a post from George. Are we all getting a little bored????","Actually, I've been posting more than ever...just not here. This place has become gay central and it bored me. I posted the above because I knew it was a topic near and dear to both of our hearts. emoticon_xkill emoticon_xgood."
"(1120, 4)",1,"Hi, Matthew, I understand and share your frustration and anger, but the enemy isn't married heterosexuals. It's Christianist bigots. You won't achieve anything trying to attack straight marriage -- as an institution, the only ones who can undermine it are straight people who choose not to marry. I guess I just can't see the point of this particular thread.",Just wanted to repeat that cause it warranted repeating.
"(1322, 5)",1,"The strata is another real problem for evolution,.","And we will get to that, but I'd really like to keep this discussion on track.  That'll have to do for now, it's 2:30am and I have work tomorrow."
"(525, 4)",1.8,"Many on the religious right claim a belief in the existence of Satan and blame him for many of the evils in this world. I am curious why people believe that Satan is responsible for those evils, not men and their weaknesses.","Answers include but are not limited to: Â• People need a solution for the Problem of Evil. Â• People want to have an ""objective"" standard for good and evil. Â• God said it, I believe it, that settles it."
"(49, 0)",1.666666667,"Peeling, with all due respect, we have allegedly had 4 billion years of evolution on Earth since the first simple life supposedly appeared. Why must we make more assumptions based on what will happen in the next 10,000 years?","Oh, we don't have to - sorry, I wasn't clear enough there. What I'm trying to do is correct your misapprehensions concerning common descent. You said this:."
"(501, 0)",1.2,"What should we argue for as a result of these senseless killings? Where should our anger be directed, if at anything?","I think we should argue that it's time to stop making people easy targets. The reason so many people are getting killed and victimized is because there are too many laws against self-defense, giving too much power to those that are fully intent on doing harm in an illegal manner."
"(167, 6)",1.6,"To be constantly told I've been defeated by pseudo intellectuals who constantly claim victories when there is absolutely nothing to be gained from debating here shows just how lacking of any actual intelligence you people possess. But you sure feel smart after patting each other on your sanctimonious backs after convincing yourselves that what you know is actually correct when it is no more correct in reality than your warped and very corrupted World views.   I will proudly stand alone against your combined self perceived intellect, and most importantly, I will confidently place my beliefs against yours at the end of this life when the true answers to the questions we debate will finally be known. And at that time, this ignorant christian will be standing tall in his knowledge as you all regret everything you have ever believed in your lives. emoticon_xangel.",Just wondering if you are going to respond to the OP (as it was addressed to you to help you to understand something).  If you ask me I'd just ignore the negative comments that some posters make toward you. Just focus onexplanations of misunderstandings and constructive criticism.
"(687, 3)",1.4,It stands to reason there were other perhaps un-related reasons Myers was booted than his objections to the content of the movie.,"Certainly... just like how the makers of Expelled have repeatedly refused to publish the interviews in full. It's not just that PZ and Dawkins object to the content of the movie -- the makers of Expelled don't want them to be able to object in the first place. It's always been their favorite argument against PZ to dangle over the head of his criticisms the fact that he hasn't even seen the movie. They can't pull that one on Dawkins anymore, which is to their disadvantage, but fortunately they managed to spot PZ before it was too late."
"(472, 5)",1,"If we think it's Homer then for this book, that's good enough. But not so with the Bible. There can be absolutely no kernel of uncertainty, which in ancient texts, ambiguity is unavoidable.","It's not just a kernel of uncertainty. Jews and Christians alike say that Moses wrote the Pentateuch, but a reading of the Pentateuch makes it obvious that this cannot be true. Luke did not write the book of Luke, the apostle Matthew did not write the book of Matthew, and we don't even claim to know the authors of many books of the Bible. Look up the Documentary hypothesis; early scholars shuffled ""holy writings"" together like a deck of cards to get the Old Testament that everybody today knows and loves."
"(803, 5)",1.833333333,"Actually the Apocrypha is made up of pre-Christian texts, and late 4th century is a bit of a stretch for the new testament, certainly all its component texts were widely accepted by the 2nd century. I don't whether it is ""generally accepted"" that the text was altered, it seems to me that you are projecting your own views based on the hypotheses of some scholars on to Biblical scholarship in general.","382 - 405 are the dates I have, under Pope Damasus I."
"(1019, 6)",1,"In fact, as a return question, I'd like to ask him: does someone rely on the Odyssey to establish the existence of Pallas Athene, Circe or Calypso ?",I've always gone the Scylla and Charybdis route before instead.
"(866, 6)",1.2,"Bonus Question: Who was the author of ""The Iliad"" and ""The Odyssey"" and how do we know? (limit your response to 50 words)   Thanks to all who respond.","We don't know for sure. Traditionally thought to be Homer but is probably from oral tradition. Single authorship itself is disputed. Beyond that, I don't know much about it.  What is your point in asking this question?"
"(455, 3)",1.6,Amazing how regularly they shoot themselves in the foot isn't it? ;).,"Chalk it up to the fact that -- although not all the time -- a good part of the time, the same people are pretty anti-anything education. We shouldn't expect them to argue positions that make sense."
"(981, 0)",1.2,"Why you quoted me is questionable. What I posted was merely a series of mathematical equations proving that Hovind is completely full of ****. How you consider mathematical equations ""mockery"" I don't know, but more likely, you did not bother to watch the video.","Well, you got that one exactly right. I didn't bother to watch your video. It was pretty predictable coming from you - personal attacks on creationists. I quoted YOU because of what YOU said."
"(823, 5)",0.2,Which issues? The health issues? Pregnancy does not physically impact the health of men. Ever. They don't get pregnant.,"very smart answer. I never knew men couldnt get pregnant. lol, you just made yourself look like an idiot with that statement. by the way, i was referring to those issues are pretty much symptoms of obesity. But the thing is... obesity isnt natural, the process of pregnancy is totally natural."
"(497, 4)",0.5,can anyone explain this to me? or give me some sites that would explain it?,http:www.talkorigins.org.
"(1062, 2)",0,"The age of the earth is just right for supporting life (us). Add, or subtract, a couple of million years, and we wouldn't be here. I think God created the earth just like it is, just for us.","I don't know if we can be as accurate as a couple of million years, but I agree that the age of the earth is just right for supporting man."
"(330, 4)",0.5,"Now, if the mother chooses to abort that person will not be born.","Well, by the strict defintion of the word ""born"", an abortion is considered a premature birth."
"(1383, 5)",0.4,Are they going to argue that all the petrified woods could have been formed within the 6000 year life of the earth?,"Exactly. I can hear it now -   ""Scientist have created petrified wood in 3 days. This throws serious doubt on the millions of years theory for its development currently accepted by evolutionists, and is strong evidence that the petrified wood touted as evidence for an ancient earth by evolutionists is capable of, and in fact more likely to have been, produced within a short time span of less, certainly less than 6000 years.""  I should be the next ""Dr."" Hovind. :p   Waxy  P.S. I agree on the use of Argon."
"(1226, 6)",0.5,"This is so inane I dont know where to start.  Firstly - If there existed an armed forces capable of destroying the US military, then an armed civilian population would be absolutely no barrier to them.  Secondly - There is no single nation on earth that can move 200,000,000 men.  Thirdly - How exactly do you propose China get its men to the USA? Are they going to use their secrect commie teleporting machines? There is no chance for them to cross the oceans, or deploy either north or south of the USA.","Yes that is a problem. But there is an instance when the 2nd Amendment did protect the USA from invaders:  ""Someone at the table asked a Japanese admiral why, with the Pacific Fleet devastated at Pearl Harbor and the mainland US forces in what Japan had to know was a pathetic state of unreadiness, Japan had not simply invaded the West Coast"" - http://www.backwoodshome.com/articles2/ayoob70.html  If it wasn't for the 2nd Amendment you would be speaking Japanese if you live on the West coast, German if you live on the East coast."
"(118, 6)",0.4,"I think that you're right to point out that both human DNA along with consciousness is necessary since there is life that is conscious but doesn't have human DNA(dogs, cats, etc.) and there are bodies that have human DNA, yet are dead (we're buried with out human DNA intact). But I actally disagreewith ""consciousness"" being a necessary quality of ""human beings"", since it's unreasonable to believe that we stop being people when we go to sleep. But maybe you have a more nuanced definition of ""consciousness"".    Same as above, do you believe that a person in a coma is no longer a ""Human Being"" ?   --.",I believe once you have the rights granted persons that they may not be taking away because you are asleep or in a coma. Not unless of course it can be shown that higher brain activity has ceased and there is no reasonable expectation that it could return.
"(1268, 6)",0,"While anyone can accept that a ""perfect"" judiciary system would only send real murderers to death row, even if this were the case, it does not negate the problems mentioned before. The death penalty costs the tax payers more and benefits neither the dead, nor society, in any way, and society doesn't punish in order to ""get revenge."".",And again:.
"(5, 2)",0.833333333,"While indeed marriage was once a religious ceremony, it is fairly clear that ceremony has been taken away from the religion and added as an American tradition, so to speak. I know of someone who once proposed that we get rid of marriage altogther and give everyone civil unions except for thos acknowledged by the church. As feasible as that may be, marriage is too rooted in our American culture. For that reason it is best to truly offer rights to everyone as our constitution so rightly protects.",That was put nicely. No argument here. Maybe marriage should be taken out and give everyone civil unions. And if you wanted to be considered married it can be your religious ceremony.
"(1327, 3)",0,Logic is a human construct.,Read the post before this one.
"(4, 1)",0.4,"Then, there are various fossilization mechanisms. I couldn't find any good information about the rates of said mechanisms, so I thought this thread might start some good debate on the subject because of that.   Now, how long did the fossilization take? Did it take 10 or 10,000 or 10,000,000 years?  Are the fossils we see all the result of one big 'tragic' event for all, or little 'tragic' events for each?  Any thoughts?","Well, Google is your friend here emoticon_idea - try fossil and see what you get. Alternatively click the link in my sig and look in the archive section at Talk Origins.  It is not possible to break fossilisation down into such simple notions as ""one big preservation event"" and lots of ""little preservations"". If you can think of some examples of fossils then we can examine them more specifically as what can be said about the circumstances of their preservation.  I've been a bit vague here as it is a) such a broad subject to describe succinctly emoticon_wow b) I'm tired emoticon_zzzz and c) I'm full of cold emoticon_frazzled  No doubt someone who isn't under the influence of b) and/or c) will chime in as well with more details while I pull round.   Now, where was my hankerchief......emoticon_xclown."
"(743, 4)",0.5,"is it possible for somebody to work at gm and not help make gm cars? i suppose it is, but chances are that person wont have his job for long.","And likewise, what category would you have for gays who do not exhibit ""gay behavior""? Celibate?"
"(891, 4)",0.5,Studies have shown that nordic and specific middle european countries that provide protection and rigerous sex education as well as local information about planned parent hood and the birthcontrol pill have a teenbirthrate of 1% where i believe ours is something like 17%. seems kind of convincing.,I think our culture is going to play a big role in this as well. I think that is where the majority of this problem lies.
"(571, 4)",0.2,I have been asking that for 10 years now and get a lot of different answers Haaa Haaa When you can find someone that is lodgical about the subject you will find out but until that time it is like looking for a needle in a hay stack.,Surely this question be easy enough to answer.   Any rational thinking thiest want to give my question a shot?
"(979, 1)",0.166666667,"Jews and homosexuals and Slavs are people, (I don't see any debate professing otherwise). They were seperate and independent from the womb and were capable of surviving without someone else's uterus at the point in which they were murdered.","So your definition of ""human being"" is someone who has already been born? Many fetuses are capable of surviving separate from there mother. In that case, by your definition, they are human beings."
"(609, 5)",0.166666667,"What do you mean there is no ""there is no evidence for a god""?","By ""there is no evidence for a god,"" I mean that there is no evidence for a god. If you think otherwise, then start a new thread in the Religion forum and present some. But of course, when you claim evidence, you are denying faith. If you have empirical evidence of the existance of your god, then your god is not supernatural."
"(1341, 2)",0.666666667,"Rotation of Earth, Job 38:12,14.",Here's what those verses - and the one in the middle of them that he conveniently left out - say.
"(1290, 4)",0.2,"Not all who are ""left"" hate God.","Sigma, I was only joking. It hit me this morning though that if I'm willing to talk about abortion without bringing up God, I wonder if the Pro-Choicers could argue their position without bringing up ""women's rights"". ;-)."
"(1337, 4)",0,"Wow, I hope I'm not the only person who went directly to your source to check it out. Lets review several points here:.","lol, you know what, I think you were!"
"(323, 1)",0,Do you know what conclusions the person drew from this? What conclusions do you draw from this? That people that own guns are less scared? Or just nicer people? :).,"Or that they tend to be better prepared, or even less willing to accept help from others or get breakdown cover. That's the trouble with these kind of stats, the interpretations are pretty open to debate."
"(737, 4)",0.6,"BWWWWAAAAAAAAHAHAHAHAHAHAHA! Are you trying to be deceptive or is it that you really didn't understand what you read? It's really pretty simple. The first link does not suggest that man arose in China. It is a discussion of a primate fossil. While humans are primates, all primates are not necessarily humans. The article discusses a primate fossil, the oldest yet discovered. It does not claim that mankind arose in China.","Can you not understand ""Our Primate Ancestors"" arose in China.  The article suggests that previous theories were Afro-centric. ""Could it be that the entire story of primate and human evolution was like watching the movie ""Out of Africa"" over and over, with every major transition in primate evolution occurring on that continent?""  Are you using 'ancestral with the spin that ancestor may not be anything other than archaic?  Or are you suggesting that they arose in China, then moved back to Africa? Because the article says ""Carnegie palaeontologist Chris Beard tells how he made the scientific and political choices governing his selection of fossil research sites, and what it's like to discover a very early rung on the ladder of human evolution."" Which suggests that they were an actual ancestor.  By the way, you do the same bwaahhaa as Iamthetruth. An indication of the level of which you wish to 'discuss' things. (Could it be that you have two IDs on this post?). Sorry if that seems ad hominem, but it's less so that your remarks."
"(996, 0)",0,I think it is great school kids are learning to speak their minds. These are the future leaders and voters in America. It is good they are learning to make a difference. Bettter than silence!,"Actually our school's Gay-Straight Aliance held a day of silence to show respect for gays who have had to live in silence. They asked the teachers to respect the people in their day of silence and not force them to talk. I think most teachers didn't force students to talk. Unfortunately, some just spoke in sign language for fun and said they were doing it as part of the day of silence."
"(1171, 5)",0.333333333,"True. My problem is that when someone , for instance Halton Arp , or Robert Gentry and others comes up with a well thought out arguement based on the evidence they are silenced because it goes against the main stream. Science is supposed to encourage challenge not suppress it.","Halton Arp is far from suppressed. Any complaints about telescope time echo the complaints of astronomers everwhere that have to clamor and compete for the same telescopes.  And I just looked up Gentry because I've never heard of him. I'd say that if he is ""suppressed"" then its merely due to the fact that he hasn't survived the peer review process. This is true for any number of people who have devised alternate theories to the BB. None of these guys has a beef with godless creation, they just think they have the right answer. There are people into the plasma universe, and the electric universe, or whatever, then there are people like Eugene Savov and his ""fireworks"" universe. These people are generally considered crackpots, but they aren't pushing creationism, they are just pushing theories weaker than the BB theory. But really, the BB theory has problems all over the place, most physicists will admit this.   But Alton Harp hasn't produced enough of these ""weird"" redshift images to have any significant statistical impact. I think he has cataloged a few dozen of these, most of which can be explained away. The ones that can't are just curiosities. Then there isn't a systematic way to look for these things, so any telescope time he applies for would be taken up by random searching, which is probably why someone else gets the telescope time."
"(58, 5)",0,A position of pro-choice is pro-life because the lives and quality of life of women are valued.,Leonard Peikoff said it first.
"(119, 2)",0.8,"Attention Trebor:   According to your own Jewish Tanakh, is God the Creator of the heavens and earth, and man?","If you want an answer to that, I suggest you read Genesis."
"(917, 3)",0.4,"No-one experiences the existence of an outside world. Explanations such as the Matrix can explain sense impressions as well as some concept of 'external reality'. We have no more evidence for one than the other.  The fact no-one takes them seriously is a psychological point about human beings, nothing to do with reality per se.   How is that based on experience? We have no data that says 'an outside world exists'. The assumption that such a world exists is made before we can use the data. But the belief that 'its gotten us far' is itself a 'scientific' type belief, in fact it has less proof on the empirical assumptions than the science itself. Justifying the validity of experience by experience is the intellectual equivalent of saying  'God must exist, because God is good and would not allow a world without God'.","Lets put it another way then. If the world did not exist or did not run by the theories and laws presented by science, you would think that there would be SOME experience at SOME point in reliably recordeable human history that people had which would have shown this. Experience is the only interaction we have with existence. If some aspect of existence exists (ex. some hypothetical parallel universe) that never manifests itself in human experience then we have no way of knowing its existence. We can guess but our guesses, not being based on experience, are completely arbitrary. Given that there are a nearly infinite number of imaginary scenarios that we can think up, the probability of the reality of any of those scenarious is miniscule.  One other point: Say that the laws of physics (which are derived from mutual human experience) are wrong but just appear to be right and that some omnipotent being can change them whenever he likes. If these apparent laws have remained the same for all of recorded human time, then why should we suspect that they may change at any moment? It all comes down to probability - if things are not what we expect they are from Science, then that should have manifested itself by now."
"(328, 5)",0.4,http://news.bbc.co.uk/1/hi/world/africa/4487756.stm.,Thank God South Africa is taking such a great step forward into the future. Prejudice is terrible and it's so damn bad when people are blinded by hypocrisy.
"(414, 4)",0,Can someone tell me when God ever said that you have free will?,"Honestly I'm not sure if it was ever said in the Bible, but I sure have heard a lot of the Bible thumpers saying free will is a gift from God."
"(1148, 1)",0,"In principle, there is no difference between the two as the result is the same, a dead baby.    I've always disliked this line of logic because it implies that the value of somebody's life depends on their relative accomplishments and it invites the counter argument that the unborn in question could also become a criminal. Indeed, it has been argued that abortion has reduced crime, poverty, overpopulation and the depletion of natural resources.",Indeed there is no diffrence it is still a dead baby but throwing a baby in a trash can and leaving it for dead is far more cruel than abortion.
"(11, 5)",0,"Gay marriage is outlawed in Texas and many other states. It's not a ""right"" around these parts, and never will be.","Actually, gay marriages will probably be recognized everywhere in the US within a decade or so. They may not be performed everywhere, but they will be recognized."
"(1172, 0)",0.333333333,"Personhood- being able to think, communicate and feel pain  Given this definitions, Reflect on the following questions.  1. When does a human become a person?  2. When does a humna stop being a person?  3. Can a fetus be considered human if it has not yet experienced life?   4. Can a living human who is brain dead still be considered a person even if he/she cannot communicate, understand and experience life?   Just interested in some of your opinions. Thnx.","1. When their mind develops and begins working. 2. When their mind stops working. 3. No, it should not, at least until its mind develops. 4. No, they are no longer living, and cannot exist without their brain."
"(1183, 2)",0.142857143,"When you use the word ""creation"" (usually in reference to the Bible), are you not referring to the creation of the universe up to now, including the events of Noah's Flood and the confusion at Babel?","I am refering to the YEC position when I use the term ""creation""."
"(1007, 1)",0.8,"It says right in the Constitution...  ""We hold these truths to be self evident that all men are created equal, and that they are endowed with certain unalienable rights, life, liberty, and the pursuit of happiness...etc. etc.''  Wouldn't one gay man marrying another be considered a 'pursuit of happiness'? Just my thoughts.","That is the declaration of independence not the constitution.  I can go you one better admendment 9 and 10 talk about certain rights retained by the people.  Amendment IX  The enumeration in the Constitution, of certain rights, shall not be construed to deny or disparage others retained by the people.   Amendment X  The powers not delegated to the United States by the Constitution, nor prohibited by it to the states, are reserved to the states respectively, or to the people.  The conservatives would argue that by offering same sex marriage that their persute of happiness is denied by gay people even existing and that they have to look at us."
"(394, 5)",0.4,"Patriot and Kelvin:  Your crushing of other people arguments with facts and statistics has to stop, you two are running everyone else off. ;)   Where has everyone gone? We need more liberals on this website. Lets ask Norm to go drag some commies over here.","If you know where the commies have a debate forum, please post it here. I would like to go and join. Just to make it clear I'm joining the forum, not the commies."
"(710, 3)",0,"Btw, that whole girl saying she believed in god before being killed.",What girl?
"(824, 0)",0.8,Then politicans should just drop the whole issue.,"Oh come on, we know they will never do that, they're masters of WMD. ""Weapons of Mass Distraction""."
"(1344, 3)",0.2,"If one accepts the Intelligent Design movement's form of ID, ...","Can you explain to me what that is? I've never been able to get a straight answer. In particular, what was supposed to have happened, and when?"
"(1145, 5)",0.4,First thing I want to say is that I dont want to offend anyone but for me abortion was the best option. I also want to say that I love Christ will all my heart. He has forgiven me for my sins and because ive had an abortion does not mean im not a Christian and yes I was a christian when I did have an abortion. I had an abortion just this past june.  ... I grew up in a christian home and was anti abortion most of my life but honestly I felt so relieved after having the abortion.,"I am so sorry to hear about what has happened to you. I hope you get away from this terrible man and surround yourself with people who love you.  I must ask, though, why are you a Christian? You completely disagree with typical Christian sentiments on abortion, you feel none of the purported guilt the religious movement implies is inevitable, you feel like you did the right thing, so why would you continue to profess to belong to this religion if you disagree with one of the major issues of the day?"
"(1049, 6)",0,The fact that these newly found feathered species are predecessors to T. rex implies that a lot of theropods had feathers so the evolution of the feather must have begun even before then.   Who can say if T. rex had any feathers at all. It's said that they lived in a pretty warm climate so they wouldn't really need feathers.,"This is an interesting area which has fascinated me for some time. It seems it would be quite a challenge to establish the direct lineage between the Tyrannosaurs and their coeluosaur ancestors given the limited numbers of fossils and the huge separation in time bwtween the animals.  I suppose one important point is whether feathers were a characteristic feature of all Coelurosauria at the time when the chinese specimens date from or if they were limited to those group that were directly ancestral to the birds.  If they were a diverse trait, then its more likely that feathers featured in T. Rex's ancestry. However, even if this were the case it would instantly mean that T. Rex was feathered itself- there is a great period of time over which such a trait could have been modified or lost entirely. Maybe T-Rex could have been like modern large mammals that do not have insulating hair- it might have retained a few specialised feathers for other specific purposes.   P.S. Hope you have a speedy recovery pandion emoticon_xgood."
"(867, 0)",0.666666667,I also understand Conneticutt is ready to pass legislation approving civil unions for same-sex couples without court intervention.,"I think they should, and I hope it passes. I have no problem with civil unions for gay couples, and Kansas should have allowed it too."
"(683, 1)",0.333333333,"Thats not the question we need to ask. We should be asking ""Would I have done the same thing, given that situation?""  If enough people answer yes, it is deemed to have been a reasonable course of action.  What I heard was that they had caught the guy, and had him pinned onto the floor of the train when one officer shot him at point blank range five times. Which doesn't sound reasonable to me.","so if for instance enough people think that to exterminate the Jews is good, then it has to be good? the rule of the mob rules right? emoticon_rolleyes."
"(793, 1)",0,"According to your logic, an infant would have no right to suck nutrients from a woman's breast.","Add ""without her consent"" and you get my position."
"(530, 5)",0.4,Man has changed significantly in the past few thousand years. I see you opted out of history classes and took it upon yourself to make up your own version.,"Oh, I know we have changed significantly. We now have the means to kill each other much more efficiently than we once did. In addition, we now have industrial capability, and the ability to destroy the entire planet a bit at a time. We can more efficiently drive lesser species to extinction.   With every passing generation we become more cruel, and our ability to delude ourselves becomes ever more refined. now we kill hundreds or thousands a day with cruise missiles and bombs instead of swords and lances, or bows and clubs. Since we can now do it from thousands of miles away, we can simply pretend it is not happening and continue along in the delusion that we are ""civilized"" people. When we see low tech attacks close to home, actually smell the blood for ourselves, those who are particularly delusional (like you) bemoan the attackers as ""monsters"".   Like that bitch that kills off the weak pup in her liter, we kill of tens off thousands of weaker people in the quest for dominance. When was the last time you saw a german shorthair launch cruise missles to wipe out thousands of weaker pups for the advancement of some meaningless idealogical nonsense?  Next time you are sitting on your XXX in your favorite easy chair marveling at the ""accomplishments"" that have ""bettered"" the human race, while your bretheren are off killing people in order to further your idiotic ideological BS, you might keep in mind that the greatest difference between humans and animals seems to be that, while animals generally do their own killing, truly ""refined"" humans such as yourself (and most other ""civilized"" people), get to set and home and send others out to do their dirty work.   True, we have invented all kinds of mralistic, idealistic mumbojumbo to convince ourselves that we are more than just squabbling apes, but at the end of the day, that is all we are. Unfortunatly, we have managed to ""refine"" our instincts to the point that they are no longer sensible or natural. We still feel the instinct to kill, and we do so more effectivley than any other species on the planet. Unlike other species, which generally kill out of need, we have no need to kill, so we invent reasons in order to satisfy our blood lust."
"(383, 3)",0.8,"Well, of course the issue isn't ""limiting"" marriage, but rather making it more open-ended.","Greater legal minds than yours or mine see laws against same-sex marriage as unconstitutional ""limiting"". Quibble with them if you want, but that's how they put it."
"(1068, 5)",0,"One of the standard rebuttals you hear is ""How did the Kangaroos get to Australia""? I don't know if that's covered in the Bible... if God transported them or not.","If God transported them, we immediately have removed the flood myth from the realm of science.  As if the flood itself did not do this already..."
"(980, 0)",0.2,"None that prove one became another. Of course dinos , birds , and fish exist and scientist study them -or their remains as with dinos. Of course some dinosaurs are still alive like alligators , monitor lizards etc.","Don't quote yourself.   What did I just say?  Nothing is ever proven, except in math.  But, yes, papers are published all the time with loads of evidence pointing to the fact that birds evolved from dinosaurs.  Alligators were not dinosaurs when dinos were around and still aren't. Neither are monitor lizards. Btw- monitors started appearing right as the dinos died out, but they were not and are not dinos."
"(450, 2)",0.8,They are not the properties of the physical universe (since they are conceptual) ...,"I'll give you that, though there is a whole school of debate about what thoughts are."
"(13, 4)",0,"The choice of responsibility begins with the ""tango"".","And ends with the woman, whose body is the one having to endure the pregnancy."
"(354, 5)",0.8,"""It appears that no rational purpose exists for limiting marriage in this state to opposite-sex partners,"" Kramer wrote.   The judge wrote that the state's historical definition of marriage, by itself, cannot justify the denial of equal protection for gays and lesbians.",And it takes this long for the obvious to be said...  http://story.news.yahoo.com/news?tmpl=story&cid=514&e=1&u=/ap/20050314/ap_on_re_us/gay_marriage.
"(1320, 3)",0.857142857,You said that I and others like me place my faith in mythology.,So you have said.
"(150, 0)",0.166666667,Pro-lifers have been dropped on their head too many times.,And teenagers consistently prove why they don't deserve the right to vote.
"(488, 6)",0.333333333,It predicts that man has always been intelligent and ancient language and buildings confirm this.,"So do 25,000 year old cave paintings."
"(3, 6)",0.5,That gives me an idea. Why don't we have a competition to come up with the best suggestion for a display or show at this theme park? The winner gets to feel smug for being so clever ;).,Oh! mememe! emoticon_xbye I have an idea! :p  The museum staff hire (or possibly abduct) a few evolutionists and put them in stocks. The visiting kids then come to the gallery to give Mum and Dad a break for an hour and get to ask the scientists questions about the origin of the earth and why fossils are different from things alive today. Each time an evolutionist gives an answer based on science they get pelted with the leftover veg from the dino pit lunchtime display. This way the kids learn an important lesson in how to deal with scientists as well as being good for the environment by putting all that veg the dinos wouldn't eat to good use! Yay!
